"","score","text"
"48",1,"rt richardangwin   presidents response  charlottesville looked like

saturdaymorning resist trump 1u tcot maga mapoli …"
"49",1,"rt agendaofevil trump  ‘cut  military aid  pakistan’ thinks us   ‘ripped ’ "
"50",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"51",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"52",1,"rt bassounov livresse du pouvoir
juncker trump "
"53",2,"rt thomaswuest und prompt schafft es trump mit einem tweet sämtliche bösen vorahnungen  verbindung mit bannons rückzug aus dem w…"
"54",-2,"rt fakenewscnn   day cnn amp  dangerous propaganda ch cant say radical islamic terrorismbut wants trump  say white nation…"
"55",3,"rt tamaraleighllc  loveamerica<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38>like  love   mother   proud want best4us ampworry  r safetyampfuture<U+2764><U+FE0F> mothersday trump ht…"
"56",0,"melovesmle hillaryclinton comey n majority  electors screwed america royaly  better    statues… "
"57",1,"correction mariachappellen   mo state senator  us sen  said  hopes trump  assassinated  sho… "
"58",1,"oriana fallacilo aveva dettoche solo uno come trump avrebbe potuto riscattare loccidente <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E30><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E64> "
"59",1,"rt aplsmith5  true first bannon next trump "
"60",2,"rt jbtw645 <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38> maga stevebannon <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>ive got  hands back   weapons<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>now  position  help trump  effectively  watch  …"
"61",2,"rt jbtw645 <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38> maga stevebannon <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>ive got  hands back   weapons<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>now  position  help trump  effectively  watch  …"
"62",1,"rt smartdissent smartdissent   database tracking trump amp congress sorted  subject government regulation page …"
"63",3,"modernday art 
thanks  inspiring  world trump 
trump "
"64",5,"trump says looks like many antipolice agitators  boston police  looking tough  smart thank "
"65",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"66",3,"rt bfraser747  1999 jessejackson praised trump   lifetime  helping africanamerican communities     donald trump ha…"
"67",1,"newt gingrich history   important  hysteria   news politics clinton trump follow"
"68",-1,"news breaking potus realdonaldtrump usa maga

   hear  kimjongun blinked

northkorea backed … "
"69",-1," add insult  injury trump  probably never ever walked   national park 
ignoranceshows potus… "
"70",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"71",1,"rt pioball sallyalbright hopefully  incompetent trump administration demonstrates  fallacy  populism well enough  even …"
"72",1,"rt libreactus trump déclare avoir pris de nouvelles décisions sur l’afghanistan  "
"73",-1,"trumps  staple  broadway openingnights  kills   much  hillarys 3 million  votes amp… "
"74",2,"bronsonted newsweek realdonaldtrump  dont support trump thats ur problemur brainwashed 2  2 party system th… "
"75",3,"rt perfectsliders trump  infrastructure will    best   world  used    greatest infrastructure anywhere …"
"76",5,"trump quotes looks like many antipolice agitators  boston police  looking tough  smart thank "
"77",-1,"rt jaclopac trumps administration  determined 2 roll back regulations amp open public land  private industry gop impeach …"
"78",0,"bostonresist bostonfreespeech bostoncommon kissimmee kissimmeeshooting democrats dems altright blm antifa… "
"79",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"80",0,"rt gwarofficial         kathy griffin stole  bit kathygriffin trump gwar vanswarpedtour …"
"81",1,"realdonaldtrump trump "
"82",1,"rt jaclopac  boston common protesters came   mass today   racist free speech rally  boston mr trump resign g…"
"83",0,"  gettimg   one less dangerous person   white house whitehouse trump"
"84",-1,"rt pinkbelgium  excuse    unacceptable period <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E65>  dems back state senator wishing trump assassination …"
"85",1,"apparently blacklives dont matter  antifa  alllives matter  potus trump maga boston "
"86",1,"trump bothsides climatechange  president yet  plays  5050   sides "
"87",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
"88",1,"rt arnout63    share trump"
"89",1,"rt pioball sallyalbright hopefully  incompetent trump administration demonstrates  fallacy  populism well enough  even …"
"90",1,"rt tuckercarlson marksteynonline people  voted  realdonaldtrump want  see  trump policies  addition   personality…"
"91",1,"hadi bu da benden gelsin trump  "
"92",1,"rt pioball sallyalbright hopefully  incompetent trump administration demonstrates  fallacy  populism well enough  even …"
"93",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"94",3,"georgetakei  think trump calls  wins see   winning hes done daily"
"95",0,"netanyahu resists calls  criticize trump  "
"96",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"97",-1,"rt dcreportmedia republicans scold trump   tepid response   neonazi violence  charlottesville …"
"98",0,"rt markearnestnow hey normangoldman heres  nice summary  recent trump craziness indivisible resistance vote2018 russiagate  ht…"
"99",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"100",2,"rt erickjos glad  hear   feeling  heat 
trump "
"101",1,"rt immoboum leffet trump au usa  
le nombre de chômeurs au plus bas depuis 1973
 aimerait ca en france "
"102",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"103",1," latest televisanews  crónicatd trump"
"104",2,"rt deadder   seven months  trumps four year term  feels like years trump"
"105",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"106",0,"rt markearnestnow hey normangoldman heres  nice summary  recent trump craziness indivisible resistance vote2018 russiagate  ht…"
"107",-1," problem  real problem  america   cant tell   wasnt much difference   trump presidency amp hillarys wakeup"
"108",1,"rt sifucorp  think    mma matches  trump supporters amp  antifa trolls use  pay preview   take care  …"
"109",1,"rt sandratxas another civil war

one side  8 trillion bullets   doesnt know  bathroom  use<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+623C><U+3E37><U+200D><U+2640><U+FE0F>

maga trump …"
"110",1,"rt dashannestokes  contrast says  

fightsupremacy saturdaymorning resist trump "
"111",0,"wewanttrump2020   picture taken  ohio   presidential campaign   boston today   people… "
"112",0,"  updates  trumps sched  activities today
afghanistan strategy
bannon departure
decision wont att… "
"113",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"114",-1,"rt actiontime trumpkkk white house  increasingly isolatedit oddly reflects trumps isolationism   withdrew usa  tpp amp quit …"
"115",1,"ha ha hah  will  go   gaudy tower   happily spends time elewhere trump moveon resist realtime "
"116",0,"bostonresist bostonfreespeech bostoncommon kissimmee kissimmeeshooting democrats dems altright blm antifa… "
"117",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
"118",2,"rt wardpedson rhondahurley2 god bless president trump"
"119",2,"rt garystlawrence trump will skip  kennedycenterhonors  will instead go  another <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E39> love  rally filled  nazis amp white…"
"120",1,"rt joshymsamuda <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> gameofthrones whitelivesmatter trump egypt amerikkka eurgypt fearyah<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>  takeover   yisrael …"
"121",1,"wewanttrump2020 stockmonsterusa apparently blacklives dont matter  antifa <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+393C><U+3E34>hmmmmm<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+393C><U+3E34> boston alllives matter  potus trump"
"122",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"123",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"124",1,"rt sandratxas another civil war

one side  8 trillion bullets   doesnt know  bathroom  use<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+623C><U+3E37><U+200D><U+2640><U+FE0F>

maga trump …"
"125",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"126",0,"rt farrightwatch trump   shadow  cant shake   "
"127",0,"politics amp theageoftrumptrash white supremacist charlottesville chaos  just beginning 4 gop neonazi trump "
"128",3,"ben sasse trump  inspire  violence egged   racists  axios  trump maga trumprally trump2020"
"129",1,"rt poetreeotic 
trump   potus
  mere 7 months 
 yet   covered 
 legit prezespecially
 cnn
remove creden…"
"130",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"131",1,"president trump  bostonfreespeechrally "
"132",1,"redmeatmonday trumptbird thedemocrats dnc potus realdonaldtrump jeffsessions mmfa yet another trump failur… "
"133",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"134",0,"rt farrightwatch trump   shadow  cant shake   "
"135",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"136",0,"rt europhobe bostonmanifestation contre le racismesoros prépare une  révolution orange  pour destituer trumprisque de guerre ci…"
"137",-1,"rt hugotravers la une du new yorker 

tout y est

trump charlotteville "
"138",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"139",2,"glad  hear   feeling  heat 
trump "
"140",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"141",0,"rt fmoniteau boston amjoy resist resistance theresistance indivisible uniteblue gop donthecon maga trump foxnews impeachtrump…"
"142",0,"dam  potus  trump  racist <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64> "
"143",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
"144",0,"realdonaldtrump cbsnews washingtonpost msnbc  trump  lies    fakenews   … "
"145",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"146",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"147",1,"rt etraditionalist whitehouse petition asks trump  formally recognize antifa  terrorist organization

 htt…"
"148",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
"149",2,"eyy ya hear bout  trump fella pretty funny right"
"150",1,"rt jaclopac  boston common protesters came   mass today   racist free speech rally  boston mr trump resign g…"
"151",1," situation  northkorea  amid trump kim war  words us troops remain unlocked  unloaded "
"152",1,"interesting especially   video    words notfakenews  trump racism notmypresident maga 

"
"153",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"154",1," situation  northkorea  amid trump kim war  words us troops remain unlocked  unloaded… "
"155",-1,"rt starknightz boston ‘free speech’ rally speakers receiving death threats  trumptrain trump"
"156",1,"rt toddwhaines trump supporters assaulted  boston antifa amp soros thugs
 altleft  hitler
  created  fakenewsmedi…"
"157",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"158",0,"peterjhasson redsteeze   part   coup thats happening    pence pence never   energ… "
"159",0," murdoch turns  trump  becomes  hannity  fox    trash  hope"
"160",0,"rt ledouaisien usa <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38> cette gauchiste sextasie à donner des coups de couteau à cette pinata à leffigie de trump
ce sont des malades…"
"161",2,"rt newnewspage  tuckercarlson bannon one    trump wh  wouldnt  comfortable working  hilla…"
"162",3,"rt bfraser747  1999 jessejackson praised trump   lifetime  helping africanamerican communities     donald trump ha…"
"163",-2,"mmfa   media matters   reluctant  condemn violence towards whites freespeechrally maga trump… "
"164",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"165",1,"rt annimallover  putin hacks trump wins "
"166",0,"allen west schools  muslim  speaks  truth  islam   cncnet allenwest pjnet… "
"167",1,"rt bassounov certains simaginent que le monde ira mieux une fois que trump aura dégagé ils ne savent pas que pence est encore pire …"
"168",1,"rt maxlandra il deprofundis di bannon la presidenza trump è finita 
"
"169",-1,"boom treason  breaking wikileaks outs 6 republicans bribed  clinton  destroy trump  via youtube soros"
"170",0,"opinion   week  president trump resigned "
"171",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"172",1,"realdonaldtrump impeaching trump one cartoon   time
<U+2705>trumprussia
<U+2705>northkorea
<U+2705>whitenationalism
<U+2705>… "
"173",1,"realdonaldtrump   
trump impeachtrump"
"174",0,"rt sandratxas hey antifa blm take   monument  slavery <U+203C><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62>
saturdaymorning 
maga
trump "
"175",0,"rt farrightwatch trump   shadow  cant shake   "
"176",-1,"rt jboeckli rbreich       get trump    white house asap   simply unfit   position  dangerous f…"
"177",0,"rt fmoniteau duke university resist resistance theresistance indivisible uniteblue gop donthecon maga trump foxnews impeacht…"
"178",1," hope  trump supporters just boycottsundaynews showsthey dont deserve ratingssponsors dont deserve credits just avoid "
"179",-1,"rt hugotravers la une du new yorker 

tout y est

trump charlotteville "
"180",0,"icegov  exhibiting   hate  disdain  immigrants  trump   taught  well"
"181",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"182",0,"rt halidousty <U+0622><U+0642><U+0627><U+06CC> <U+067E><U+0631><U+0632><U+06CC><U+062F><U+0646><U+062A> 
<U+0633><U+0631><U+0646><U+0648><U+0634><U+062A> <U+062C><U+0646><U+06AF> <U+0631><U+0627> <U+0627><U+0631><U+0627><U+062F><U+0647><U+0621> <U+0633><U+0631><U+0628><U+0627><U+0632><U+0627><U+0646> <U+062A><U+0639><U+06CC><U+06CC><U+0646> <U+0645><U+06CC><U+06A9><U+0646><U+062F> <U+0646><U+0647> <U+0642><U+062F><U+0631><U+062A> <U+0633><U+0644><U+0627><U+062D> <U+0647><U+0627> 
<U+0627><U+0631><U+0627><U+062F><U+0647><U+0621> <U+0645><U+0627> <U+0631><U+0627> <U+0645><U+062D><U+06A9> <U+0646><U+0632><U+0646>
trump  pence mattis se…"
"183",1,"nbcnews trump amp pence  examining  manysides   incident"
"184",-1,"rt laylablock2 gartrelllinda andersoncooper cnns andersoncooper  another liberal hypocrite   destroy trump amp maga movement…"
"185",1,"realdonaldtrump  trump"
"186",1,"therickydavila republican party became choice amp refuge  white supremacist long  trump"
"187",3,"rt navylassie bfriedmandc  arts called    day  love   said  nice things   trump kennedycenterho…"
"188",2,"rt immigrant4trump realdonaldtrump  voted  trump maga trump "
"189",1,"rt sandratxas another civil war

one side  8 trillion bullets   doesnt know  bathroom  use<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+623C><U+3E37><U+200D><U+2640><U+FE0F>

maga trump …"
"190",-1,"rt zevshalev exclusive rudy giulianis role   clinton email scandal  trumprussia"
"191",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"192",3,"rt bfraser747  1999 jessejackson praised trump   lifetime  helping africanamerican communities     donald trump ha…"
"193",0,"bostonresist bostonfreespeech bostoncommon kissimmee kissimmeeshooting democrats dems altright blm antifa… "
"194",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"195",1,"trump"
"196",-1,"rt arnoldkarskens ik pleit voor trumpvrije dag  nederlandse media per week ziekelijk die aandacht voor de vs eu heeft problemen ge…"
"197",0,"tagesschau erdogan trump es gibt länder die blamieren sich einfach nur mit ihren präsidenten <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>"
"198",0,"yeah theyre just  lousy  trump deplorables however  guys   england   already knew  "
"199",-1,"rt hugotravers la une du new yorker 

tout y est

trump charlotteville "
"200",1,"rt earlsinclairdr want  know  truth  nibiru

nibiru jupiter trump putin climatechange globalwarming earthchanges bitco…"
"201",0,"rt fmoniteau duke university resist resistance theresistance indivisible uniteblue gop donthecon maga trump foxnews impeacht…"
"202",1,"trump "
"203",1,"cnn solutioneer72  comrads  russia won  presidency  trumpgive credit  credit  due"
"204",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"205",1,"rt ilovedjtrump justlikenormandy right mittromney marcorubio senjohnmccain
    side trump condemned   rinos …"
"206",2,"realdonaldtrump love  trump"
"207",1,"rt annimallover  putin hacks trump wins "
"208",0,"rt donnawr8 <U+2620><U+FE0F>kkk founder   dnc delegate

put    pipe  smoke it<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E64> 

trump maga charlottesville 
…"
"209",2,"rt realjunsonchan jared kushner   interesting trump maga stevebannon "
"210",1," take  steve bannons future postwhite house onthetrollagain trump "
"211",2,"rt garystlawrence trump will skip  kennedycenterhonors  will instead go  another <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E39> love  rally filled  nazis amp white…"
"212",0,"inxsys trump ampco must use  secret new drug  allows users  totally eschew  objective data amp live   f… "
"213",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"214",1,"abc  larger crowd     trump inauguration<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E35>"
"215",2,"scubaix neither trump    interested   politically correct  140 characters  less america voted… "
"216",1," trump trumprussia impeachtrump"
"217",3,"rt bfraser747  1999 jessejackson praised trump   lifetime  helping africanamerican communities     donald trump ha…"
"218",2,"rt janransom  trump supporter  another man  friendly debate  hate speech bostonfreespeechrally boston …"
"219",1,"williams19tate noahshachtman  care trump    daughter resembles   care   pedophile    vicim"
"220",-1,"rt goldstarmomtx55  1 name surprises mei knew ryan mccain amp graham  compromised   long time kasich hates trump
drain
…"
"221",1,"rt poetreeotic 
missouris mariachappelle
rowdyracistdem revered
hopes trump assassinated
  dema 10 shes rated
unclearif s…"
"222",0,"rt donnawr8 <U+2620><U+FE0F>kkk founder   dnc delegate

put    pipe  smoke it<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E64> 

trump maga charlottesville 
…"
"223",1,"murdochs amp fox   new territory  trump via nytimes "
"224",0,"rt fmoniteau duke university resist resistance theresistance indivisible uniteblue gop donthecon maga trump foxnews impeacht…"
"225",1,"trump déclare avoir pris de nouvelles décisions sur l’afghanistan  "
"226",0,"rt fmoniteau kennedy center honors resist resistance theresistance indivisible uniteblue gop donthecon maga trump foxnews im…"
"227",0,"realdonaldtrump breitbartnews lol <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> trump still kissing bannons ass   fear potus   pussy"
"228",1,"rt garystlawrence twitter  allowing trump  add 100k fakefollowers every day
811356m
813357m
814358m
815359m
81636m…"
"229",2,"mightybusterbro fakenews need guys like shepardsmith 2 give foxnews  semblance  credibility fauxnews hannity thefive trump"
"230",0," racist speakshas   facts  guess trump "
"231",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
